UF,Tipo Crime,Mês,2015,2016,2017,2018,2019,2020,2021,2022
Acre,Estupro,abril,3,1,2,25,35,18,46,28
Acre,Estupro,agosto,1,2,17,22,30,37,34,47
Acre,Estupro,dezembro,0,4,18,23,18,26,28,58
Acre,Estupro,fevereiro,8,1,1,20,21,20,23,34
Acre,Estupro,janeiro,6,1,0,14,33,18,39,31
Acre,Estupro,julho,2,2,19,16,25,25,39,62
Acre,Estupro,junho,4,2,3,20,33,13,51,45
Acre,Estupro,maio,4,4,0,23,27,6,30,45
Acre,Estupro,março,6,4,3,26,24,32,19,57
Acre,Estupro,novembro,1,6,13,17,29,28,36,53
Acre,Estupro,outubro,5,2,18,24,33,30,52,49
Acre,Estupro,setembro,2,7,14,30,22,27,41,59
Acre,Furto de veículo,abril,0,0,2,44,67,30,60,40
Acre,Furto de veículo,agosto,0,0,79,58,31,20,51,34
Acre,Furto de veículo,dezembro,0,0,67,54,33,56,38,52
Acre,Furto de veículo,fevereiro,0,0,0,56,52,40,49,55
Acre,Furto de veículo,janeiro,0,0,0,74,46,23,55,50
Acre,Furto de veículo,julho,0,0,76,56,60,12,66,44
Acre,Furto de veículo,junho,0,0,39,56,45,9,49,50
Acre,Furto de veículo,maio,0,0,5,43,48,18,50,29
Acre,Furto de veículo,março,0,0,0,37,46,18,48,44
Acre,Furto de veículo,novembro,0,0,65,63,38,15,50,41
Acre,Furto de veículo,outubro,0,0,113,87,51,25,49,41
Acre,Furto de veículo,setembro,0,0,93,76,55,23,50,33
Acre,Homicídio doloso,abril,22,22,2,30,21,27,18,21
Acre,Homicídio doloso,agosto,13,23,19,33,19,22,15,9
Acre,Homicídio doloso,dezembro,18,142,10,28,34,19,9,22
Acre,Homicídio doloso,fevereiro,10,18,46,28,25,20,14,10
Acre,Homicídio doloso,janeiro,13,18,43,51,32,46,13,10
Acre,Homicídio doloso,julho,14,23,26,51,18,16,11,20
Acre,Homicídio doloso,junho,14,26,10,36,20,11,18,12
Acre,Homicídio doloso,maio,15,27,1,36,20,18,18,23
Acre,Homicídio doloso,março,16,19,1,29,26,18,26,21
Acre,Homicídio doloso,novembro,21,30,20,21,27,23,7,29
Acre,Homicídio doloso,outubro,15,50,19,28,16,22,10,14
Acre,Homicídio doloso,setembro,18,27,24,25,34,29,9,16
Acre,Lesão corporal seguida de morte,abril,0,0,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,agosto,1,0,0,0,1,0,0,0
Acre,Lesão corporal seguida de morte,dezembro,0,0,0,0,0,1,0,1
Acre,Lesão corporal seguida de morte,fevereiro,1,0,0,0,1,0,0,0
Acre,Lesão corporal seguida de morte,janeiro,0,0,0,0,0,0,0,1
Acre,Lesão corporal seguida de morte,julho,1,0,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,junho,0,0,0,0,0,0,1,0
Acre,Lesão corporal seguida de morte,maio,0,1,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,março,0,0,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,novembro,0,0,0,0,0,0,0,2
Acre,Lesão corporal seguida de morte,outubro,0,0,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,setembro,0,0,0,0,0,0,0,0
Acre,Roubo a instituição financeira,abril,0,0,0,0,0,0,1,0
