UF,Tipo Crime,Mês,2015,2016,2017,2018,2019,2020,2021
Acre,Estupro,abril,3,1,2,25,35,18,46
Acre,Estupro,agosto,1,2,17,22,30,37,34
Acre,Estupro,dezembro,0,4,18,23,18,26,28
Acre,Estupro,fevereiro,8,1,1,20,21,20,23
Acre,Estupro,janeiro,6,1,0,14,33,18,39
Acre,Estupro,julho,2,2,19,16,25,25,39
Acre,Estupro,junho,4,2,3,20,33,13,51
Acre,Estupro,maio,4,4,0,23,27,6,30
Acre,Estupro,março,6,4,3,26,24,32,19
Acre,Estupro,novembro,1,6,13,17,29,28,36
Acre,Estupro,outubro,5,2,18,24,33,30,52
Acre,Estupro,setembro,2,7,14,30,22,27,41
Acre,Furto de veículo,abril,0,0,2,44,67,30,60
Acre,Furto de veículo,agosto,0,0,79,58,31,20,51
Acre,Furto de veículo,dezembro,0,0,67,54,33,56,38
Acre,Furto de veículo,fevereiro,0,0,0,56,52,40,49
Acre,Furto de veículo,janeiro,0,0,0,74,46,23,55
Acre,Furto de veículo,julho,0,0,76,56,60,12,66
Acre,Furto de veículo,junho,0,0,39,56,45,9,49
Acre,Furto de veículo,maio,0,0,5,43,48,18,50
Acre,Furto de veículo,março,0,0,0,37,46,18,48
Acre,Furto de veículo,novembro,0,0,65,63,38,15,50
Acre,Furto de veículo,outubro,0,0,113,87,51,25,49
Acre,Furto de veículo,setembro,0,0,93,76,55,23,50
Acre,Homicídio doloso,abril,22,22,2,30,21,27,18
Acre,Homicídio doloso,agosto,13,23,19,33,19,22,15
Acre,Homicídio doloso,dezembro,18,142,10,28,34,19,9
Acre,Homicídio doloso,fevereiro,10,18,46,28,25,20,14
Acre,Homicídio doloso,janeiro,13,18,43,51,32,46,13
Acre,Homicídio doloso,julho,14,23,26,51,18,16,11
Acre,Homicídio doloso,junho,14,26,10,36,20,11,18
Acre,Homicídio doloso,maio,15,27,1,36,20,18,18
Acre,Homicídio doloso,março,16,19,1,29,26,18,26
Acre,Homicídio doloso,novembro,21,30,20,21,27,23,7
Acre,Homicídio doloso,outubro,15,50,19,28,16,22,10
Acre,Homicídio doloso,setembro,18,27,24,25,34,29,9
Acre,Lesão corporal seguida de morte,abril,0,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,agosto,1,0,0,0,1,0,0
Acre,Lesão corporal seguida de morte,dezembro,0,0,0,0,0,1,0
Acre,Lesão corporal seguida de morte,fevereiro,1,0,0,0,1,0,0
Acre,Lesão corporal seguida de morte,janeiro,0,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,julho,1,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,junho,0,0,0,0,0,0,1
Acre,Lesão corporal seguida de morte,maio,0,1,0,0,0,0,0
Acre,Lesão corporal seguida de morte,março,0,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,novembro,0,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,outubro,0,0,0,0,0,0,0
Acre,Lesão corporal seguida de morte,setembro,0,0,0,0,0,0,0
Acre,Roubo a instituição financeira,abril,0,0,0,0,0,0,1
Acre,Roubo a instituição financeira,agosto,0,0,0,0,0,0,0
Acre,Roubo a instituição financeira,dezembro,0,0,2,1,0,0,0
Acre,Roubo a instituição financeira,fevereiro,0,0,0,0,0,0,0
Acre,Roubo a instituição financeira,janeiro,0,0,0,1,1,0,0
Acre,Roubo a instituição financeira,julho,0,0,0,0,3,0,0
Acre,Roubo a instituição financeira,junho,0,0,0,1,0,0,0
Acre,Roubo a instituição financeira,maio,0,0,0,0,0,0,0
Acre,Roubo a instituição financeira,março,0,0,0,0,0,0,0
Acre,Roubo a instituição financeira,novembro,0,0,0,0,0,0,0
Acre,Roubo a instituição financeira,outubro,0,0,1,0,0,0,0
Acre,Roubo a instituição financeira,setembro,0,0,2,0,0,0,0
Acre,Roubo de carga,abril,0,0,0,0,2,0,0
Acre,Roubo de carga,agosto,0,0,0,0,1,0,0
Acre,Roubo de carga,dezembro,0,0,0,0,1,0,0
Acre,Roubo de carga,fevereiro,0,0,0,0,0,0,0
Acre,Roubo de carga,janeiro,0,0,0,0,0,0,0
Acre,Roubo de carga,julho,0,0,1,1,0,0,0
Acre,Roubo de carga,junho,0,0,2,0,0,0,0
Acre,Roubo de carga,maio,0,0,0,0,0,0,0
Acre,Roubo de carga,março,0,0,0,0,0,0,0
Acre,Roubo de carga,novembro,0,0,0,0,0,0,0
Acre,Roubo de carga,outubro,0,0,0,0,0,0,0
Acre,Roubo de carga,setembro,0,0,0,0,0,0,0
Acre,Roubo de veículo,abril,0,0,39,53,101,48,91
Acre,Roubo de veículo,agosto,0,0,112,91,116,61,82
Acre,Roubo de veículo,dezembro,0,0,107,105,91,90,61
Acre,Roubo de veículo,fevereiro,0,0,0,59,94,64,89
Acre,Roubo de veículo,janeiro,0,0,0,110,104,102,99
Acre,Roubo de veículo,julho,0,0,124,90,91,41,87
Acre,Roubo de veículo,junho,0,0,85,102,90,57,94
Acre,Roubo de veículo,maio,0,0,3,87,104,61,91
Acre,Roubo de veículo,março,0,0,13,48,80,93,100
Acre,Roubo de veículo,novembro,0,0,100,117,124,79,63
Acre,Roubo de veículo,outubro,0,0,139,120,128,81,87
Acre,Roubo de veículo,setembro,0,0,127,98,123,59,91
Acre,Roubo seguido de morte (latrocínio),abril,1,2,0,4,2,0,0
Acre,Roubo seguido de morte (latrocínio),agosto,1,0,1,2,1,1,2
Acre,Roubo seguido de morte (latrocínio),dezembro,0,4,0,1,0,0,0
Acre,Roubo seguido de morte (latrocínio),fevereiro,1,1,0,2,1,0,1
Acre,Roubo seguido de morte (latrocínio),janeiro,0,1,1,2,0,1,2
Acre,Roubo seguido de morte (latrocínio),julho,2,1,2,0,1,1,0
Acre,Roubo seguido de morte (latrocínio),junho,1,0,2,1,3,1,0
Acre,Roubo seguido de morte (latrocínio),maio,0,2,0,1,1,1,1
Acre,Roubo seguido de morte (latrocínio),março,1,1,2,0,1,0,1
Acre,Roubo seguido de morte (latrocínio),novembro,1,1,2,2,3,3,1
Acre,Roubo seguido de morte (latrocínio),outubro,2,1,0,1,0,3,0
Acre,Roubo seguido de morte (latrocínio),setembro,0,1,0,4,1,0,0
Acre,Tentativa de homicídio,abril,2,2,3,3,14,16,11
Acre,Tentativa de homicídio,agosto,3,1,9,9,13,18,35
Acre,Tentativa de homicídio,dezembro,0,0,8,1,17,8,21
Acre,Tentativa de homicídio,fevereiro,0,1,0,3,7,7,20
Acre,Tentativa de homicídio,janeiro,2,1,0,8,15,16,10
Acre,Tentativa de homicídio,julho,0,0,9,11,5,18,19
Acre,Tentativa de homicídio,junho,0,1,4,7,16,15,25
Acre,Tentativa de homicídio,maio,2,0,0,8,4,5,17
Acre,Tentativa de homicídio,março,1,2,1,7,7,17,8
Acre,Tentativa de homicídio,novembro,1,0,7,7,12,6,18
Acre,Tentativa de homicídio,outubro,0,1,12,16,11,15,23
Acre,Tentativa de homicídio,setembro,5,1,8,6,13,21,28
Alagoas,Estupro,abril,52,30,52,46,64,49,45
Alagoas,Estupro,agosto,53,54,49,43,60,70,0
Alagoas,Estupro,dezembro,48,56,68,20,45,49,11
Alagoas,Estupro,fevereiro,40,40,58,44,61,42,50
Alagoas,Estupro,janeiro,38,48,63,58,56,71,62
Alagoas,Estupro,julho,45,44,53,34,75,61,51
Alagoas,Estupro,junho,42,52,47,34,51,42,66
Alagoas,Estupro,maio,47,40,58,44,70,47,59
Alagoas,Estupro,março,55,42,62,60,58,41,56
